ID;TWEET;label;len emoji;len text;len letters;TWEET_clean
1;الاوليمبياد الجايه هكون لسه ف الكليه ..;none;0;7;15;الاوليمبياد الجايه هكون لسه الكليه
2;عجز الموازنه وصل ل93.7 % من الناتج المحلي يعني لسه اقل من 7 % و نفلس و بهايم لسه يتابعوا الاوليمبياد;anger;0;21;24;عجز الموازنه وصل ل937 الناتج المحلي يعني لسه اقل 7 نفلس بهايم لسه يتابعوا الاوليمبياد
3;كتنا نيله ف حظنا الهباب xD;sadness;0;6;14;كتنا نيله حظنا الهباب xD
4;جميعنا نريد تحقيق اهدافنا لكن تونس تالقت في حراسه المرمي...;joy;0;10;19;جميعنا نريد تحقيق اهدافنا تونس تالقت حراسه المرمي
5;الاوليمبياد نظامها مختلف .. ومواعيد المونديال مكانتش مقرفه ولا حاجه كانت معقوله;none;0;12;22;الاوليمبياد نظامها مختلف ومواعيد المونديال مكانتش مقرفه حاجه كانت معقوله
6;دلوقتي عندها اربع سنين .... ومحدش يقدر يكلمها ... سبحان الله;surprise;0;11;19;دلوقتي عندها اربع سنين ومحدش يقدر يكلمها الله
7;الحب يسلبها كيدها يرجعها الي براءتها الاولي ويدفعها الي الذهاب بعيداً حيث لا تعرف وحيث تخاف فهي لا تقاومك احياناً بل تقاوم نفسها ان تحب;love;0;25;24;الحب يسلبها كيدها يرجعها الي براءتها الاولي ويدفعها الي الذهاب بعيدا تعرف وحيث تخاف فهي تقاومك احيانا تقاوم نفسها ان تحب
8;she3er: شوفي بـ عيني امنيات الغلابه واحلام ثلثين الشعوب .! .  سنابي she3er1 .;sympathy;0;14;27;she3er شوفي بـ عيني امنيات الغلابه واحلام ثلثين الشعوب سنابي she3er1
9;86:   صوتك هو حبيبي الثالث   بعدك وبعد عيونك ~  بوح  غزل;love;0;11;21;86 صوتك حبيبي الثالث بعدك وبعد عيونك بوح غزل
10;عمر عسر اتغلب وخرج وبيكمل مسيره مصر الفاشله في الاوليمبياد;sadness;0;10;20;عمر عسر اتغلب وخرج وبيكمل مسيره مصر الفاشله الاوليمبياد
11;iu ايه ناويه بس خايفه الصراحه مدري وش فيني;fear;0;9;19;iu ايه ناويه خايفه الصراحه مدري وش فيني
12;عالماشي | غدا.. لقاء نادر للنجمه ناديه لطفي علي شاشه ماسبيرو زمان   اتحاد ال...    ترفيه  فن  موسيقي;joy;0;17;25;عالماشي لقاء نادر للنجمه ناديه لطفي علي شاشه ماسبيرو زمان اتحاد ال ترفيه فن موسيقي
13;يا ويل  قلبي منه ي كثر ما اغليه ويا كثر ماله في خفوقي محبه .. ❤  مساء  الخير  ي;love;1;19;21;ويل قلبي كثر اغليه ويا كثر ماله خفوقي محبه ❤ الخير
